0	1	2	3	4	5	6
AGPAT2	0	0	0	0	0	0	0
AGPAT3	0	0	0	0	0	0	0
AGPAT4	0	0	0	0	0	0	0
AGPAT5	0	0	0	0	0	0	0
AGPS	0	0	0	0	0	0	0
AGRN	0	0	0	0	0	0	0
AGTPBP1	0	0	0	0	0	0	0
AGTRAP	0	0	0	0	0	0	0
AHCTF1	0	0	0	0	0	0	0
AHCY	0	0	0	0	0	0	0
AHCYL1	0	0	0	0	0	0	0
AHCYL2	0	0	0	0	0	0	0
AHDC1	0	0	0	0	0	0	0
AHI1	0	0	0	0	0	0	0
AHNAK	0	0	0	0	0	0	0
AHR	0	0	0	0	0	0	0
AHSA1	0	0	0	0	0	0	0
AHSA2	0	0	0	0	0	0	0
AIDA	0	0	0	0	0	0	0
AIF1	0	0.18510217842213	0	0	0	0	0
AIF1.1	0	0.18510217842213	0	0	0	0	0
AIF1.2	0	0.18510217842213	0	0	0	0	0
AIFM1	0	0	0	0	0	0	0
AIFM2	0	0	0	0	0	0	0
AIFM3	0	0	0	0	0	0	0
AIG1	0	0	0	0	0	0	0
AIM1	0	0	0	0	0	0	0
AIM1L	0	0	0	0	0	0	0
AIM2	0	0	0	0	0	0	0
AIMP1	0	0	0	0	0	0	0
AIMP2	0	0	0	0	0	0	0
AIP	0	0	0	0	0	0	0
AIPL1	0	0	0	0	0	0	0
AIRE	0	0	0	0	0	0	0
AJ006998.2	0	0	0	0	0	0	0
AJUBA	0	0	0	0	0	0	0
AK1	0	0	0	0	0	0	0
AK2	0	0	0	0	0	0	0
AK3	0	0	0	0	0	0	0
AK5	0	0	0	0	0	0	0
AK6	0	0	0	0	0	0	0
AK9	0	0	0	0	0	0	0
AKAP1	0	0	0	0	0	0	0
AKAP10	0	0	0	0	0	0	0
AKAP11	0	0	0	0	0	0	0
AKAP12	0	0	0	0	0	0	0
AKAP13	0	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0	0
AKAP2	0	0	0	0	0	0	0
AKAP3	0	0	0	0	0	0	0
AKAP5	0	0	0	0	0	0	0
AKAP6	0	0	0	0	0	0	0
AKAP7	0	0	0	0	0	0	0
AKAP8	0	0	0	0	0	0	0
AKAP8L	0	0	0	0	0	0	0
AKAP9	0	0	0	0	0	0	0
AKIP1	0	0	0	0	0	0	0
AKIRIN1	0	0	0	0	0	0	0
AKIRIN2	0	0	0	0	0	0	0
AKNA	0	0	0	0	0	0	0
AKR1A1	0	0	0	0	0	0	0
AKR1B1	0	0	0	0	0	0	0
AKR1C1	0	0	0	0	0	0	0
AKR1C3	0	0	0	0	0	0	0
AKR1E2	0	0	0	0	0	0	0
AKR7A2	0	0	0	0	0	0	0
AKR7A3	0	0	0	0	0	0	0
AKT1	0	0	0	0	0	0	0
AKT1S1	0	0	0	0	0	0	0
AKT2	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0
AKTIP	0	0	0	0	0	0	0
AL049794.1	0	0	0	0	0	0	0
AL109761.5	0	0	0	0	0	0	0
AL109767.1	0	0	0	0	0	0	0
